50	5		
2	62	120	3
80	25	120	14
36	88	120	1
57	23	120	14
33	17	120	19
76	43	120	2
77	85	120	14
94	6	120	6
89	11	120	7
59	72	120	6
39	82	120	10
87	24	120	18
44	76	120	3
2	83	120	6
19	43	120	20
5	27	120	4
58	72	120	14
14	50	120	11
43	18	120	19
87	7	120	15
11	56	120	15
31	16	120	4
51	94	120	13
55	13	120	13
84	57	120	5
12	2	120	16
53	33	120	3
53	10	120	7
33	32	120	14
69	67	120	17
43	5	120	3
10	75	120	3
8	26	120	12
3	1	120	14
96	22	120	20
6	48	120	13
59	22	120	10
66	69	120	9
22	50	120	6
75	21	120	18
4	81	120	7
41	97	120	20
92	34	120	9
12	64	120	1
60	84	120	8
35	100	120	5
38	2	120	1
9	9	120	7
54	59	120	9
1	58	120	2
